;x
que a;1036
que o;814
que se;788
e a;762
de que;668
para a;643
não se;611
dje de;559
o que;549
abuso de;527
com a;526
de poder;522
que não;504
rel min;489
de mensagens;471
poder econômico;458
do poder;440
e de;436
em que;431
com o;399
em massa;394
e o;367
para o;353
de forma;342
das eleições;326
de um;321
que os;317
da lei;313
no caso;309
do art;308
abuso do;307
o senhor;305
não é;300
não há;299
dos fatos;296
uso indevido;291
senhor ministro;284
art da;282
que as;281
da lc;280
se a;267
de uma;261
justiça eleitoral;259
se que;258
do pleito;256
do processo;255
disparos em;255
a partir;251
dos meios_de_comunicação;248
por meio;247
de abuso;242
de campanha;242
propaganda eleitoral;240
petição inicial;232
ainda que;231
e da;231
da conduta;231
do candidato;230
relator ministro;229
os fatos;228
de pedir;226
do abuso;221
uma vez;219
de modo;215
nos autos;215
redes sociais;215
indevido dos;214
do voto;213
causa de;212
jair bolsonaro;211
para que;209
e do;208
e que;206
todos os;205
dos autos;205
prática de;202
meios_de_comunicação social;201
processo eleitoral;200
e não;197
é a;194
a legitimidade;193
a gravidade;193
é o;192
nos termos;189
sobre a;188
de comunicação;188
deve ser;186
ausência de;185
da campanha;185
no sentido;185
de propaganda;185
que é;184
bem como;183
de prova;183
existência de;181
o uso;181
no art;179
em relação;177
em razão;175
sobre o;173
voto o;172
de sua;172
o ministro;172
a sua;172
meio de;169
quanto à;168
a campanha;168
no original;164
ministro alexandre_de_moraes;164
de provas;160
sentido de;160
da ação;159
voto do;158
com base;157
a existência;157
e à;153
termos do;152
lei complementar;152
ou de;151
lei nº;150
eminente ministro;149
entre os;149
dos investigados;149
as eleições;148
poder político;146
pedido de;146
a normalidade;146
destaques no;146
da gravidade;146
do que;145
vez que;144
senhor presidente;142
e os;141
a ser;141
no que;141
uso de;141
do ministro;140
edson fachin;140
o abuso;139
a prática;139
com os;138
da demanda;137
aije nº;137
o pedido;136
como se;135
e outros;135
sem destaques;135
o relator;135
eminente relator;134
da prova;134
econômico e;134
o fato;134
nº df;134
de defesa;134
massa de;134
o art;133
que foi;133
de fato;133
realização de;133
se de;132
todas as;132
a conduta;131
e em;129
sua excelência;128
eleitoral e;127
quanto ao;127
jorge mussi;127
nas eleições;126
de o;126
de a;126
liberdade de;126
do direito;125
de se;125
nesse sentido;125
ou seja;124
de pessoas;124
de recursos;123
possibilidade de;122
da justiça;122
de contas;122
os candidatos;122
são paulo;121
é que;121
como a;121
respe nº;120
lc nº;119
se o;119
sob pena;118
de disparos;118
de seu;117
utilização de;117
normalidade e;117
o resultado;117
de e;117
bens jurídicos;117
da silva;116
o candidato;116
de votação;116
produção de;116
por sua;115
das ações;114
o eminente;114
no âmbito;113
na inicial;113
em seu;113
e ao;112
as provas;112
o seu;112
na petição;112
fatos e;112
ocorrência de;112
campanha eleitoral;111
parte autora;111
da aije;111
a prova;110
pena de;110
não foi;110
desta corte;110
do tse;110
é possível;110
pode ser;110
esta corte;109
os investigados;109
não pode;108
dos candidatos;108
e por;107
de direito;107
no julgamento;107
a realização;107
em benefício;107
o voto;106
art do;103
suficiente para;103
a decisão;102
é um;102
do relator;102
fim de;102
ou a;102
de fatos;101
direito de;100
com as;100
legitimidade do;100
luciano hang;100
contratação de;100
da empresa;99
modo que;99
desse modo;99
por isso;99
eleições de;99
de conteúdo;99
o julgamento;98
que em;98
cassação do;98
alexandre_de_moraes presidente;98
do cpc;97
ou não;97
durante o;97
na internet;97
de whatsapp;97
da decisão;96
da eleição;96
ministro luís_roberto_barroso;96
do ato;94
o tribunal;94
além de;94
fato de;94
a meu;93
se pode;93
e as;93
entendo que;93
a fim;93
do pedido;92
que no;92
de qualquer;92
do ilícito;92
e no;92
das mensagens;92
do contraditório;91
de todos;91
a ocorrência;91
e na;91
legitimidade das;91
a possibilidade;90
corte superior;90
a que;90
campanha de;90
ministro luis_felipe_salomão;90
mais de;90
do eminente;89
caso concreto;89
diz respeito;89
prestação de;89
da disputa;89
folha de;89
em sua;88
milhões de;88
gravidade dos;88
sérgio banhos;88
na aije;88
de r;88
da causa;87
além disso;87
aos autos;87
a parte;87
recurso especial;87
o conteúdo;87
no processo;86
o processo;86
o direito;86
a respeito;86
a aije;86
a causa;85
ações eleitorais;85
fatos que;85
exercício do;85
da instrução;85
a análise;85
df e;85
o caso;84
da república;84
no brasil;84
agravo regimental;84
gravidade das;84
por parte;84
de dados;84
de empresas;83
na hipótese;83
em vista;83
partir de;83
a utilização;83
para fins;83
que na;83
empresas de;83
mensagens de;83
no entanto;82
do código;82
o seguinte;82
polícia federal;82
art a;82
ministro relator;82
a matéria;81
razão da;81
conjunto probatório;81
em tese;81
das circunstâncias;81
df relator;81
alegações finais;81
de votos;81
eleitoral de;81
condição de;80
a jurisprudência;80
cassação de;80
do uso;80
candidatos e;80
mensagens instantâneas;80
benedito gonçalves;80
das provas;79
necessidade de;79
não são;79
ponto de;79
contra o;79
que foram;79
modo a;79
por fim;79
na linha;79
carlos horbach;79
de voto;79
os pedidos;79
no qual;79
da liberdade;79
à luz;78
preliminar de;78
para as;78
eleitoral a;78
em um;78
a senhora;78
pessoas jurídicas;78
og fernandes;77
de processo;77
eleições e;77
de candidato;77
configuração do;77
disputa eleitoral;77
a cassação;77
grau de;77
a petição;76
da chapa;76
tendo em;76
a própria;76
no dia;76
à justiça;76
atos de;76
tutela inibitória;76
de educação;76
ampla defesa;75
o qual;75
a instrução;75
todo o;75
por outro;75
acompanho o;75
se em;74
da prática;74
e ou;74
os elementos;74
campanha do;74
capaz de;74
de inelegibilidade;74
é como;74
e com;74
cerceamento de;74
termos de;74
do primeiro;74
é uma;73
de condutas;73
que para;73
das empresas;73
nº rel;73
oab df;73
ilícita de;73
conduta vedada;73
a produção;73
primeiro investigado;73
durante a;72
devem ser;72
mas não;72
luiz fux;72
partir da;72
nesse contexto;72
agr respe;72
o próprio;72
eleitoral em;72
de não;72
rede social;72
fernando haddad;72
de jair;72
notícias falsas;72
em favor;72
aplicativos de;72
a tutela;72
código de;71
a qual;71
do brasil;71
relação a;71
desvio de;71
e vice;71
divulgação de;71
a liberdade;70
o exercício;70
a reunião;70
benefício de;70
de imprensa;70
que eu;69
processo civil;69
da parte;69
a conclusão;69
campanha dos;69
de informações;69
ministro jorge;69
juízo de;68
constituição federal;68
outro lado;68
ministro carlos;68
falta de;68
o período;68
das condutas;68
tipo de;68
a preliminar;67
sob a;67
princípio da;67
pelo eminente;67
com efeito;67
a tese;67
na campanha;67
ao longo;67
econômico ou;67
após a;67
como voto;67
as partes;67
de são;67
de seus;66
que essa;66
de ser;66
ministério público;66
a justiça;66
da inicial;66
para os;66
de notícias;66
fins de;66
ministro edson;66
da presente;65
legislação eleitoral;65
elementos de;65
do julgamento;65
da constituição;65
a da;65
de multa;65
igualdade de;65
complementar nº;65
entre o;65
presidente e;65
