;x
abuso de poder;512
meios de comunicação;396
abuso do poder;283
o senhor ministro;281
disparos em massa;255
do poder econômico;252
dos meios de;249
de comunicação social;237
jair messias bolsonaro;233
alexandre de moraes;224
presidente da república;220
uso indevido dos;212
indevido dos meios;212
causa de pedir;207
de poder econômico;202
art da lc;167
ministro alexandre de;164
luis felipe salomão;163
voto o senhor;158
no sentido de;157
do abuso de;155
luís roberto barroso;152
liberdade de expressão;152
nos termos do;148
destaques no original;145
tribunal superior eleitoral;141
uma vez que;134
em massa de;134
sem destaques no;133
supremo tribunal federal;127
de abuso de;123
poder econômico e;122
por meio de;121
de que a;120
do art da;113
sentido de que;110
massa de mensagens;110
sob pena de;108
a existência de;108
na petição inicial;101
da liberdade de;100
em que se;99
da lei nº;99
de abuso do;98
de moraes presidente;98
o que se;97
do processo eleitoral;96
ministro luís roberto;96
de modo que;95
de disparos em;95
da lei complementar;94
da lc nº;92
da justiça eleitoral;92
ministro luis felipe;91
do voto do;90
a fim de;90
legitimidade das eleições;89
art da lei;87
a realização de;87
senhor ministro alexandre;87
a liberdade de;87
do poder político;85
prática de abuso;84
a possibilidade de;83
de que o;83
legitimidade do pleito;83
a normalidade e;83
a partir de;81
de mensagens instantâneas;80
em razão da;79
a causa de;77
a prática de;77
aije nº df;77
df relator ministro;77
voto do relator;76
termos do art;75
e a legitimidade;74
cerceamento de defesa;74
a petição inicial;72
de propaganda eleitoral;72
código de processo;71
a partir da;71
nº rel min;71
prestação de contas;71
ministério público eleitoral;71
gravidade dos fatos;70
normalidade e a;70
de jair bolsonaro;70
à justiça eleitoral;70
em benefício de;70
não se pode;69
ministro jorge mussi;69
que não se;68
tendo em vista;68
em relação a;67
gravidade das circunstâncias;67
é como voto;66
de mensagens de;66
o eminente relator;65
o abuso de;65
lei complementar nº;65
ministro edson fachin;65
de são paulo;64
nº df relator;63
oab df e;63
para fins de;63
messias bolsonaro e;63
de processo civil;62
poder econômico ou;62
df e outros;62
que diz respeito;61
caso dos autos;61
para que se;61
disparo em massa;60
gravidade da conduta;59
jorge mussi dje;59
de poder político;59
do tribunal superior;58
roberto barroso presidente;58
captação ilícita de;58
da causa de;57
de todos os;57
de modo a;57
por outro lado;57
a legitimidade do;57
o pedido de;57
o uso de;57
o abuso do;56
o fato de;56
aplicativos de mensagens;56
art do cpc;55
no art da;55
desvio de finalidade;55
termos do voto;55
e uso indevido;55
esta corte superior;54
por sua vez;54
no que diz;54
min luis felipe;54
contratação de empresas;54
de meios de;54
o art da;53
a justiça eleitoral;53
na condição de;53
bens jurídicos tutelados;53
não pode ser;53
o uso indevido;53
de expressão e;53
o que não;52
senhor ministro luís;52
em que o;52
responsável pelo perfil;52
da ampla defesa;51
trata se de;51
por meio da;51
ministro carlos horbach;51
o tribunal superior;51
com base na;51
se que a;50
entre os candidatos;50
a ocorrência de;50
mussi dje de;50
folha de s;50
de s paulo;50
disparo de mensagens;50
embargos de declaração;49
ilícita de sufrágio;49
de mensagens em;49
vice presidente da;49
a tutela inibitória;49
sistema eletrônico de;49
eletrônico de votação;49
se tratar de;48
mauro campbell marques;48
mg rel min;48
a parte autora;48
por meio do;48
do art do;47
de pedir e;47
mais uma vez;47
a gravidade das;47
utilização indevida de;47
de presidente da;47
b da lei;47
do supremo tribunal;47
do código de;47
mensagens de whatsapp;47
ministro benedito gonçalves;47
diz respeito à;46
e de sua;46
não é possível;46
normalidade das eleições;46
no caso concreto;46
candidato jair bolsonaro;46
jurisprudência desta corte;46
dje de sem;46
a legitimidade das;46
uso indevido de;46
palácio da alvorada;46
ministro og fernandes;45
a necessidade de;45
o eminente ministro;45
ministro luiz fux;45
do eminente ministro;45
a ausência de;45
o tribunal por;45
de produção de;45
a produção de;45
de jair messias;45
