"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"  12";"  20";" 60.00";"   7.66";"conveniência";" 5.657129e-03"
"  69";" 168";" 41.07";"   7.50";"conferir";" 6.152845e-03"
"  29";"  61";" 47.54";"   7.49";"mauro";" 6.207350e-03"
"  29";"  61";" 47.54";"   7.49";"vencedor";" 6.207350e-03"
"  23";"  46";" 50.00";"   7.48";"acrescentar";" 6.230070e-03"
"  54";" 127";" 42.52";"   7.46";"realidade";" 6.294045e-03"
"  11";"  18";" 61.11";"   7.43";"luís";" 6.399951e-03"
"  11";"  18";" 61.11";"   7.43";"célere";" 6.399951e-03"
" 103";" 264";" 39.02";"   7.39";"diante";" 6.559610e-03"
"  15";"  27";" 55.56";"   7.38";"perquirir";" 6.580639e-03"
"  15";"  27";" 55.56";"   7.38";"moldura";" 6.580639e-03"
"  15";"  27";" 55.56";"   7.38";"descrição";" 6.580639e-03"
"  10";"  16";" 62.50";"   7.24";"intimação";" 7.138826e-03"
"  10";"  16";" 62.50";"   7.24";"sócio";" 7.138826e-03"
"  35";"  77";" 45.45";"   7.19";"parágrafo";" 7.350932e-03"
"  28";"  59";" 47.46";"   7.17";"ajuizado";" 7.420047e-03"
"  22";"  44";" 50.00";"   7.16";"folha";" 7.470247e-03"
"  14";"  25";" 56.00";"   7.09";"situar";" 7.754954e-03"
"  54";" 128";" 42.19";"   7.08";"acima";" 7.779060e-03"
" 168";" 454";" 37.00";"   7.02";"representar";" 8.055563e-03"
"  36";"  80";" 45.00";"   6.99";"disposto";" 8.178426e-03"
"  31";"  67";" 46.27";"   6.99";"tópico";" 8.203430e-03"
" 116";" 303";" 38.28";"   6.96";"concluir";" 8.319197e-03"
"  19";"  37";" 51.35";"   6.92";"incompatível";" 8.538496e-03"
"  21";"  42";" 50.00";"   6.83";"ilação";" 8.963440e-03"
"  25";"  52";" 48.08";"   6.81";"estrito";" 9.069658e-03"
"  13";"  23";" 56.52";"   6.80";"inibir";" 9.116390e-03"
"  13";"  23";" 56.52";"   6.80";"desempenhar";" 9.116390e-03"
"  54";" 129";" 41.86";"   6.72";"pena";" 9.554374e-03"
"  54";" 129";" 41.86";"   6.72";"chapa";" 9.554374e-03"
"  90";" 230";" 39.13";"   6.62";"verificar";" 1.009734e-02"
"  73";" 182";" 40.11";"   6.61";"condenação";" 1.013040e-02"
"  48";" 113";" 42.48";"   6.59";"regimental";" 1.027955e-02"
"  18";"  35";" 51.43";"   6.59";"ix";" 1.023975e-02"
"   3";"   3";"100.00";"   6.58";"kiplix";" 1.031759e-02"
"   3";"   3";"100.00";"   6.58";"rebeca";" 1.031759e-02"
"  69";" 171";" 40.35";"   6.55";"adotar";" 1.047153e-02"
"  12";"  21";" 57.14";"   6.52";"extrato";" 1.068138e-02"
"  12";"  21";" 57.14";"   6.52";"tempestivo";" 1.068138e-02"
"  20";"  40";" 50.00";"   6.50";"concernir";" 1.076314e-02"
"  24";"  50";" 48.00";"   6.49";"raciocínio";" 1.087059e-02"
"  22";"  45";" 48.89";"   6.47";"pressupor";" 1.094354e-02"
"  37";"  84";" 44.05";"   6.36";"sessão";" 1.168348e-02"
"  40";"  92";" 43.48";"   6.36";"procedência";" 1.168571e-02"
"  29";"  63";" 46.03";"   6.36";"acarretar";" 1.165260e-02"
"  51";" 122";" 41.80";"   6.28";"discutir";" 1.221017e-02"
"  27";"  58";" 46.55";"   6.28";"crer";" 1.222869e-02"
"  11";"  19";" 57.89";"   6.24";"renovar";" 1.245822e-02"
"  11";"  19";" 57.89";"   6.24";"ensejo";" 1.245822e-02"
"  11";"  19";" 57.89";"   6.24";"sabido";" 1.245822e-02"
"  38";"  87";" 43.68";"   6.21";"conhecido";" 1.270491e-02"
"  61";" 150";" 40.67";"   6.15";"narrativa";" 1.315012e-02"
"  21";"  43";" 48.84";"   6.15";"araújo";" 1.314446e-02"
"  30";"  66";" 45.45";"   6.15";"cogitar";" 1.310929e-02"
"  14";"  26";" 53.85";"   6.14";"neto";" 1.319799e-02"
"  14";"  26";" 53.85";"   6.14";"vínculo";" 1.319799e-02"
"  14";"  26";" 53.85";"   6.14";"harmonia";" 1.319799e-02"
"  10";"  17";" 58.82";"   5.98";"insuficiente";" 1.443808e-02"
"  10";"  17";" 58.82";"   5.98";"fls";" 1.443808e-02"
"  16";"  31";" 51.61";"   5.95";"pautar";" 1.475685e-02"
"  16";"  31";" 51.61";"   5.95";"converter";" 1.475685e-02"
"  56";" 137";" 40.88";"   5.87";"conta";" 1.544273e-02"
"  29";"  64";" 45.31";"   5.85";"atentar";" 1.559754e-02"
"  22";"  46";" 47.83";"   5.84";"rito";" 1.564694e-02"
"  13";"  24";" 54.17";"   5.83";"conjectura";" 1.574045e-02"
"  20";"  41";" 48.78";"   5.82";"eis";" 1.580117e-02"
"  27";"  59";" 45.76";"   5.74";"aliás";" 1.656858e-02"
"   9";"  15";" 60.00";"   5.74";"embargado";" 1.657863e-02"
"  25";"  54";" 46.30";"   5.65";"raul";" 1.746915e-02"
"  25";"  54";" 46.30";"   5.65";"perspectiva";" 1.746915e-02"
"  76";" 194";" 39.18";"   5.63";"caráter";" 1.762754e-02"
"  15";"  29";" 51.72";"   5.62";"investigatório";" 1.773520e-02"
" 181";" 501";" 36.13";"   5.56";"ver";" 1.838462e-02"
"  17";"  34";" 50.00";"   5.53";"mpe";" 1.873312e-02"
