cargo;21;113;36;125
ocorrência;96;30;25;120
expor;146;67;23;54
determinado;100;47;33;112
amplo;157;82;6;35
chefe;11;179;74;27
dado;50;69;72;31
relevante;136;57;19;58
jair_bolsonaro;22;87;49;13
revelar;131;43;14;85
disputa;17;55;8;212
partido;31;68;53;92
tribunal_superior_eleitoral;57;44;95;80
tender;112;73;29;47
registro;32;43;37;136
menos;70;99;41;65
serviço;19;43;20;14
exame;184;26;10;58
ação_de_investigação_judicial_eleitoral;122;12;2;136
suposto;65;75;64;54
condição;35;68;24;108
excelência;121;18;79;30
propaganda_eleitoral;25;76;2;113
bolsonaro;18;115;52;7
presidencial;72;83;25;61
precedente;97;20;9;153
observar;127;59;32;51
indicar;124;60;37;43
força;35;45;131;28
política;23;151;47;50
desvio;19;53;11;193
atuação;73;93;34;53
constituição;63;31;32;140
participação;58;54;32;94
jurisprudência;101;15;6;152
coligação;93;36;20;41
verdade;69;85;75;27
destaque;85;49;12;108
vir;63;54;112;18
diante;103;63;38;60
agora;38;27;152;31
propaganda;31;113;5;78
live;7;78;136;7
pessoal;45;88;44;82
legal;156;5;5;92
realização;57;96;21;74
período;44;112;16;52
contar;71;70;60;36
conjunto;171;15;5;63
marco;16;35;11;39
conhecimento;96;64;43;22
paulo;38;38;51;30
caracterizar;36;31;5;190
ausência;168;8;5;71
teor;73;90;20;45
possibilidade;94;35;37;82
dentro;32;43;138;32
sigilo;151;16;27;23
segurança;68;58;95;29
debate;73;106;40;29
tudo;38;55;120;12
proferido;137;85;5;27
facebook;38;145;19;7
prever;83;25;13;129
autoridade;13;72;42;127
verificar;90;40;17;83
conta;56;37;17;27
benefício;20;49;7;143
superior;103;24;22;99
lado;68;48;87;36
passar;28;103;65;45
encontrar;103;63;35;46
valor;39;41;24;99
sempre;88;68;47;43
desinformação;9;147;8;36
aijes;183;9;14;23
declaração;73;40;50;74
único;69;51;19;64
passivo;185;6;1;33
diligência;196;9;26;4
ro;19;6;0;212
destacar;60;65;24;75
dúvida;59;83;45;43
carlos;30;18;64;51
possuir;93;54;19;61
maior;49;111;21;42
diploma;27;5;2;200
agr;29;0;0;205
depoimento;57;22;102;28
exigir;103;19;8;118
número;11;56;96;13
configurar;26;25;11;151
vídeo;8;144;46;11
demais;69;51;25;60
antes;62;65;73;25
sanção;43;13;0;175
original;83;25;15;100
oficial;14;153;28;18
claro;53;65;58;30
âmbito;81;48;39;56
deixar;56;45;77;44
alegado;122;48;8;55
código;124;16;54;25
constituir;74;54;2;98
fático;135;35;3;53
chegar;43;53;90;11
assentar;131;13;6;84
r;39;53;5;27
contraditório;207;1;6;16
república;33;92;44;45
imprensa;26;98;36;65
ii;82;44;23;45
divulgação;35;124;17;37
governo;26;106;73;13
determinar;138;19;24;18
juntar;137;32;53;1
ideia;23;130;31;40
específico;99;29;31;43
tornar;56;84;65;18
liberdade_de_expressão;22;74;10;107
embora;89;54;26;50
praticar;71;35;8;111
reconhecer;75;50;32;67
contrário;82;78;38;24
configuração;34;7;3;185
aí;14;30;151;9
lei_complementar;70;3;3;145
jornalístico;92;54;9;44
edson_fachin;82;27;19;50
último;70;53;63;24
ocasião;68;44;90;21
representação;90;29;4;80
lula;3;70;74;2
veicular;37;102;8;34
turno;12;99;72;5
comportamento;23;81;17;80
oab;0;0;2;2
réu;97;31;8;17
proposta;76;30;64;35
adversário;19;105;19;24
página;22;100;41;25
livre;42;68;10;88
função;47;57;16;88
via;38;40;18;30
relatório;36;35;108;6
acórdão;96;13;7;90
necessidade;107;22;23;49
curso;122;35;18;31
repercussão;43;53;8;105
aplicativo;14;52;6;30
trecho;35;84;51;23
promover;58;77;7;19
mero;56;34;15;88
garantia;111;10;11;58
depois;20;31;142;6
opinião;15;116;24;44
responsável;32;34;21;35
estratégia;12;141;17;12
capaz;54;50;12;71
fonte;23;79;60;28
supremo_tribunal_federal;76;22;62;44
luiz;18;35;20;102
caráter;76;56;6;56
votar;20;49;89;18
vice;34;26;6;109
luis_felipe_salomão;59;10;18;83
mencionar;65;37;48;33
órgão;87;62;21;30
silva;18;33;47;27
exemplo;35;69;55;31
divulgar;8;116;49;24
direto;40;42;15;82
certo;95;38;22;25
prazo;90;12;28;25
manter;59;74;19;40
extrair;61;42;37;51
eleger;64;16;26;77
corregedor;127;11;12;41
barro;0;20;111;2
filipe;0;18;117;0
espécie;62;49;9;74
condenação;73;8;12;89
caber;94;32;26;45
impor;59;30;3;106
imagem;9;120;7;32
grande;24;99;47;18
tipo;42;66;21;34
palavra;33;57;41;40
luís_roberto_barroso;50;9;30;65
limite;82;18;7;74
apurar;50;19;44;69
situação;73;57;17;42
nada;49;20;81;14
relativo;82;53;23;26
ex;26;34;95;11
valer;45;42;32;60
terceiro;45;46;22;54
mundo;13;79;77;6
conter;28;69;29;35
aplicação;77;17;0;76
importante;51;61;40;31
procedimento;109;22;35;21
contratação;20;12;2;10
acontecer;2;8;168;1
veículo;15;57;3;107
mostrar;62;41;64;15
ministério;40;38;83;9
informar;51;43;54;6
envolver;41;73;15;40
devido;133;10;11;14
analisar;75;23;22;56
afastar;79;11;10;81
oportunidade;69;21;24;66
eleitorado;11;119;0;16
tutela;47;23;1;26
afirmação;30;78;42;18
presidência;5;78;62;6
fossar;54;46;58;22
natureza;76;24;8;70
pouco;25;59;66;18
improcedente;107;3;5;43
antônio;8;6;3;5
legítimo;26;92;6;50
conferir;69;42;13;44
reeleição;9;117;28;23
declarar;30;25;29;56
rejeitar;94;7;17;34
impedir;61;58;21;40
apontar;82;41;27;25
gente;1;5;137;0
notório;69;77;6;15
agente;15;36;7;116
acima;54;25;15;34
né;1;4;139;0
aplicar;76;20;4;73
sociedade;11;116;13;26
lisura;35;22;13;108
início;63;58;29;17
cpc;148;4;0;13
ademais;84;28;9;39
