"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
" 11";"  70";"15.71";"  -7.96";"outubro";"4.774271e-03"
"  9";"  61";"14.75";"  -7.81";"retirar";"5.182298e-03"
"  1";"  23";" 4.35";"  -7.79";"negócio";"5.250238e-03"
"  1";"  23";" 4.35";"  -7.79";"dedicar";"5.250238e-03"
"  1";"  23";" 4.35";"  -7.79";"danoso";"5.250238e-03"
"  1";"  23";" 4.35";"  -7.79";"sucesso";"5.250238e-03"
"  1";"  23";" 4.35";"  -7.79";"pi";"5.250238e-03"
"  5";"  43";"11.63";"  -7.77";"mandatário";"5.298442e-03"
"  0";"  17";" 0.00";"  -7.76";"viana";"5.336535e-03"
"  0";"  17";" 0.00";"  -7.76";"giuseppe";"5.336535e-03"
"  0";"  17";" 0.00";"  -7.76";"battisti";"5.336535e-03"
"  0";"  17";" 0.00";"  -7.76";"janino";"5.336535e-03"
"  0";"  17";" 0.00";"  -7.76";"rodrigo";"5.336535e-03"
"  0";"  17";" 0.00";"  -7.76";"depoente";"5.336535e-03"
"  0";"  17";" 0.00";"  -7.76";"autopromoção";"5.336535e-03"
"  0";"  17";" 0.00";"  -7.76";"vulnerável";"5.336535e-03"
" 30";" 145";"20.69";"  -7.69";"exatamente";"5.546177e-03"
" 18";"  98";"18.37";"  -7.69";"filho";"5.539558e-03"
"  4";"  38";"10.53";"  -7.66";"aprimoramento";"5.651312e-03"
"  2";"  28";" 7.14";"  -7.62";"rapidamente";"5.761028e-03"
"  2";"  28";" 7.14";"  -7.62";"crença";"5.761028e-03"
"  3";"  33";" 9.09";"  -7.60";"unidade";"5.843569e-03"
" 47";" 208";"22.60";"  -7.46";"função";"6.299484e-03"
" 23";" 117";"19.66";"  -7.46";"papel";"6.322871e-03"
" 22";" 113";"19.47";"  -7.43";"beneficiário";"6.398726e-03"
"  5";"  42";"11.90";"  -7.38";"carvalho";"6.590322e-03"
" 63";" 266";"23.68";"  -7.34";"constituição";"6.744638e-03"
"  1";"  22";" 4.55";"  -7.34";"mundial";"6.731916e-03"
"  1";"  22";" 4.55";"  -7.34";"linguagem";"6.731916e-03"
"  1";"  22";" 4.55";"  -7.34";"iminente";"6.731916e-03"
"  1";"  22";" 4.55";"  -7.34";"cair";"6.731916e-03"
"  1";"  22";" 4.55";"  -7.34";"extemporâneo";"6.731916e-03"
"  1";"  22";" 4.55";"  -7.34";"ater";"6.731916e-03"
"  1";"  22";" 4.55";"  -7.34";"amanhã";"6.731916e-03"
"  1";"  22";" 4.55";"  -7.34";"sepúlveda";"6.731916e-03"
"  1";"  22";" 4.55";"  -7.34";"possivelmente";"6.731916e-03"
