"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"também";0,440923784548471;0,213520665906038;0,281171178865262;0,780595284288381;0,378009149756007;0,497775134822424;0,733260468916582;0,116405290011126;0,150334241072291;0,00066850588614792;0,000156768214918659;0,000271844021496354;0,00343857247746655;0,273256385590942;0,000256754948041154
"presidente";0,795635120279685;0,450676903131073;0,373888531892936;0,805383876780134;0,456198956239358;0,37846971259101;0,752706099759815;0,163489481029418;0,0838044192107665;0,0017413900555401;0,000558725859729812;0,000384549683833107;0,00275085798197324;0,486672892263214;0,000651542099638405
"bem";-0,222660741088535;-0,405040207536216;0,363516987403348;-0,37865503028296;-0,688808055253257;0,618194007621908;0,218152201155888;0,488686385597961;0,29316141324615;0,000159770600548951;0,000528695776467379;0,000425852291308158;0,00322262348129716;0,252987917300388;0,000206257204261134
"campanha";0,456460144530477;-0,811051937003907;-0,863037092007348;0,359629976315734;-0,639001219253372;-0,679958617805414;0,202446100631252;0,432675882627624;0,364878016741124;0,000490091101870473;0,00154727825565901;0,00175198350715719;0,00235218291212205;0,538374008094783;0,000681772155188142
"já";0,269523340115115;0,490420441204252;-0,253727949670506;0,438650845567848;0,798162196736363;-0,41294375329286;0,271138835974264;0,607711929696259;0,121149234329475;0,000224446863942602;0,000743118218820803;0,000198910359149489;0,00308973179134676;0,274685949735326;0,000233127589355568
"ainda";-0,101911221301476;0,19496805267272;-0,319396510971185;-0,262772516714997;0,502714472710287;-0,823546454905177;0,118625184137921;0,293914804830488;0,58746001103159;3,22966661376034e-05;0,00011820629077021;0,000317229828943311;0,00310966554483932;0,15702524715796;7,66748002051093e-05
"ilícito";-1,27017304533888;-0,525395598010417;0,667574584553205;-0,831220238503183;-0,343826737537344;0,436870792863448;0,796751080179666;0,0922850609397777;0,110963858880556;0,00447558791902594;0,000765767918721066;0,00123630007827671;0,00277411402771456;0,755157414757144;0,00158197381398269
"forma";-0,0633994207933071;-0,366730426668584;-0,383611976019518;-0,118618889586119;-0,68614437552501;-0,717729374464185;0,0237476232927886;0,537904435481234;0,438347941225976;1,14175922224223e-05;0,000382030322551608;0,000418011530561724;0,00284055987268976;0,218328858406522;0,000135402360499262
"direito";-0,88248585633231;-0,235754418969451;0,178320173303829;-0,948219348463084;-0,253314996436981;0,191602661203796;0,935541966371143;0,0451990303034132;0,0192590033254439;0,00214231671852809;0,000152893088438357;8,74720137525797e-05;0,00275085798197324;0,484185797238585;0,000644899828945082
"dizer";1,51866473491652;0,395229659420788;1,06077613546627;0,801766846293916;0,208658323532509;0,560028238756324;0,774092777574933;0,0354919550229786;0,190415267402088;0,00650533011272581;0,000440600087872323;0,00317389828512898;0,0028206261191972;0,916012351645413;0,00236672709523201
"uso";-0,91934453329352;-1,93708453146532;0,666704191726649;-0,40942797086133;-0,862676135423871;0,296915176517654;0,234161792425085;0,703749746473764;0,0620884611011485;0,00221269037321496;0,0098233857076624;0,00116367156370833;0,00261796629202284;1,00822209412551;0,00266119360449861
"auto";-0,477744542400862;0,968611985098237;-0,348381726941607;-0,420986670474691;0,85353719069016;-0,306992650386592;0,246863171505425;0,686951663327445;0,0661851651671292;0,000649087232469097;0,00266815634737426;0,000345161488263322;0,00284388216493852;0,510274083891399;0,000740489016274824
"jurídico";-1,28713759175284;0,247215999166327;0,350408015992893;-0,948729381474421;0,182219122091097;0,258280375312396;0,941318903564248;0,0235072402703076;0,0351738561654458;0,00437577427078051;0,000161420284733155;0,00032430453874723;0,00264122233776416;0,704032185011886;0,00130915174383275
